"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"30.12.2019","23.506,37","23.712,11","23.735,93","23.506,37","212,21M","-1,06%"
"27.12.2019","23.757,60","23.867,96","23.898,60","23.732,27","274,19M","-0,59%"
"23.12.2019","23.898,42","23.918,55","23.941,26","23.845,21","229,77M","-0,44%"
"20.12.2019","24.003,64","23.842,28","24.003,64","23.836,96","793,56M","1,24%"
"19.12.2019","23.708,94","23.647,05","23.710,17","23.583,12","374,67M","0,34%"
"18.12.2019","23.628,87","23.645,91","23.738,05","23.627,21","311,23M","-0,01%"
"17.12.2019","23.630,77","23.535,62","23.716,58","23.481,76","343,98M","0,45%"
"16.12.2019","23.524,76","23.436,29","23.549,60","23.388,12","276,51M","0,84%"
"13.12.2019","23.329,33","23.713,61","23.727,56","23.272,24","478,94M","-0,26%"
"12.12.2019","23.390,95","23.229,13","23.487,72","23.161,14","413,35M","1,02%"
"11.12.2019","23.155,64","23.101,34","23.202,62","23.038,08","283,42M","0,14%"
"10.12.2019","23.122,82","22.935,88","23.141,46","22.789,78","298,17M","0,72%"
"09.12.2019","22.956,90","23.214,72","23.233,11","22.855,96","302,72M","-0,97%"
"06.12.2019","23.182,72","23.055,17","23.219,63","22.940,32","294,14M","0,93%"
"05.12.2019","22.969,40","23.049,47","23.190,81","22.946,44","298,65M","-0,28%"
"04.12.2019","23.034,20","22.736,58","23.035,66","22.732,80","324,50M","1,31%"
"03.12.2019","22.736,52","22.845,38","22.987,19","22.581,12","367,76M","0,03%"
"02.12.2019","22.728,59","23.297,68","23.402,95","22.698,17","452,95M","-2,28%"
"29.11.2019","23.259,33","23.267,74","23.425,30","23.206,91","265,98M","-0,36%"
"28.11.2019","23.342,42","23.401,35","23.481,09","23.270,48","237,62M","-0,61%"
"27.11.2019","23.485,03","23.624,06","23.651,44","23.451,85","332,17M","-0,26%"
"26.11.2019","23.546,58","23.475,62","23.570,10","23.359,16","473,71M","0,34%"
"25.11.2019","23.467,25","23.398,04","23.496,51","23.383,64","297,10M","0,89%"
"22.11.2019","23.259,80","23.325,33","23.461,58","23.254,67","372,92M","-0,09%"
"21.11.2019","23.279,78","23.194,58","23.371,80","23.104,98","477,10M","-0,31%"
"20.11.2019","23.351,78","23.220,59","23.384,30","23.149,95","419,63M","0,10%"
"19.11.2019","23.329,21","23.520,12","23.660,49","23.303,44","374,66M","-0,57%"
"18.11.2019","23.463,98","23.572,18","23.614,55","23.350,44","374,17M","-0,53%"
"15.11.2019","23.588,59","23.599,52","23.631,71","23.462,91","337,91M","0,46%"
"14.11.2019","23.481,35","23.576,47","23.641,38","23.480,29","378,03M","-0,41%"
"13.11.2019","23.578,43","23.696,42","23.726,51","23.436,37","399,81M","-0,86%"
"12.11.2019","23.782,15","23.555,06","23.827,58","23.547,77","436,42M","1,24%"
"11.11.2019","23.489,93","23.453,88","23.516,37","23.396,47","369,32M","-0,19%"
"08.11.2019","23.534,49","23.477,83","23.561,58","23.353,85","596,25M","0,13%"
"07.11.2019","23.503,03","23.487,10","23.584,84","23.445,05","499,29M","0,56%"
"06.11.2019","23.373,22","23.375,37","23.414,89","23.308,97","438,77M","0,04%"
"05.11.2019","23.364,82","23.346,34","23.436,01","23.294,52","486,39M","0,23%"
"04.11.2019","23.311,43","23.040,85","23.348,56","23.027,49","437,88M","1,64%"
"01.11.2019","22.934,32","22.734,64","22.946,01","22.721,16","289,47M","1,06%"
"31.10.2019","22.693,77","22.659,38","22.783,36","22.584,49","435,50M","0,21%"
"30.10.2019","22.646,08","22.699,86","22.781,80","22.453,97","440,25M","-0,15%"
"29.10.2019","22.680,74","22.702,80","22.747,86","22.615,29","327,25M","-0,07%"
"28.10.2019","22.695,64","22.597,11","22.749,24","22.529,17","272,00M","0,38%"
"25.10.2019","22.608,99","22.554,40","22.608,99","22.466,35","246,33M","0,36%"
"24.10.2019","22.527,42","22.446,08","22.548,19","22.396,80","406,30M","0,79%"
"23.10.2019","22.351,07","22.376,77","22.441,29","22.284,10","376,07M","-0,60%"
"22.10.2019","22.487,08","22.504,40","22.524,54","22.360,61","343,21M","0,04%"
